,0,1,2,3
0,Perfect, Ed Sheeran,spotify:track:1bhUWB0zJMIKr9yVPrkEuI,2017
1,Rockstar, Post Malone Featuring 21 Savage,N/A,2017
2,Havana, Camila Cabello Featuring Young Thug,N/A,2017
3,Gucci Gang, Lil Pump,spotify:track:43ZyHQITOjhciSUUNPVRHc,2017
4,Thunder, Imagine Dragons,spotify:track:7BrsBU0BAytRDvROM4yCbn,2017
5,Too Good At Goodbyes, Sam Smith,spotify:track:3VlbOrM6nYPprVvzBZllE5,2017
6,No Limit, G-Eazy Featuring A$AP Rocky & Cardi B,N/A,2017
7,Bad At Love, Halsey,spotify:track:7y9iMe8SOB6z3NoHE2OfXl,2017
8,Bodak Yellow (Money Moves), Cardi B,spotify:track:3g2qgbWPl8TcgJIkstWpSV,2017
9,What Lovers Do, Maroon 5 Featuring SZA,N/A,2017
10,All I Want For Christmas Is You, Mariah Carey,spotify:track:0bYg9bo50gSsH3LtXe2SQn,2017
11,Feel It Still, Portugal. The Man,spotify:track:6QgjcU0zLnzq5OrUoSZ3OK,2017
12,Gummo, 6ix9ine,spotify:track:2vjmyyAnDUzilFYxOlTdO1,2017
13,I Get The Bag, Gucci Mane Featuring Migos,N/A,2017
14,MotorSport," Migos, Nicki Minaj & Cardi B",spotify:track:0bMqUbRs5r5aoTzrP6mA3G,2017
15,Sorry Not Sorry, Demi Lovato,spotify:track:3Du2K5dLzmduCNp6uwuaL0,2017
16,New Rules, Dua Lipa,spotify:track:2ekn2ttSfGqwhhate0LSR0,2017
17,Mi Gente, J Balvin & Willy William Featuring Beyonce,N/A,2017
18,1-800-273-8255, Logic Featuring Alessia Cara & Khalid,N/A,2017
19,Wolves, Selena Gomez X Marshmello,N/A,2017
20,Him & I, G-Eazy & Halsey,spotify:track:5k38wzpLb15YgncyWdTZE4,2017
21,Let You Down, NF,spotify:track:52okn5MNA47tk87PeZJLEL,2017
22,I Fall Apart, Post Malone,spotify:track:75ZvA4QfFiZvzhj2xkaWAh,2017
23,Bank Account, 21 Savage,spotify:track:2fQrGHiQOvpL9UgPvtYy6G,2017
24,Shape Of You, Ed Sheeran,spotify:track:0FE9t6xYkqWXU2ahLh6D8X,2017
25,How Long, Charlie Puth,spotify:track:32DGGj6KlNuBr6WaqRxpxi,2017
26,Love., Kendrick Lamar Featuring Zacari,N/A,2017
27,Young Dumb & Broke, Khalid,spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,2017
28,The Way Life Goes, Lil Uzi Vert Featuring Nicki Minaj,N/A,2017
29,Believer, Imagine Dragons,spotify:track:5VKSZDsidOFHrtlJb33Syo,2017
30,Meant To Be, Bebe Rexha & Florida Georgia Line,spotify:track:3lFf4DnT68QjQGB3iq1BJ9,2017
31,Despacito, Luis Fonsi & Daddy Yankee Featuring Justin Bieber,N/A,2017
32,Silence, Marshmello Featuring Khalid,N/A,2017
33,Unforgettable, French Montana Featuring Swae Lee,N/A,2017
34,Sky Walker, Miguel Featuring Travis Scott,N/A,2017
35,Attention, Charlie Puth,spotify:track:4iLqG9SeJSnt0cSPICSjxv,2017
